dispatch_rank,package_id,city,zone_id,service_window_breach,intervention_priority,predicted_breach_probability,model_risk_rank_score,intervention_urgency_score,recommendation_source,risk_summary,evidence_summary,recommended_action,dispatcher_note,confidence,hallucination_flag,evidence_coverage_score,action_alignment_score,completeness_score,readability_score,overall_recommendation_score
1,P-322553,Shanghai,0,0,Critical,0.0765576001800777,0.998,0.8217,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0766 and an intervention priority marked as critical.,"The model risk rank score of 0.9980 indicates high reliability in the prediction, supporting the risk assessment.",Assign this task to the most experienced courier immediately.,Critical task at risk of breaching service window; prioritize with an expert courier.,high,0,0.8,1.0,1.0,1.0,0.94
2,P-4154296,Shanghai,0,0,High,0.0434124891226773,0.9835,0.747275,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0434.,The model risk rank score of 0.9835 indicates high risk potential.,Assign the task to an experienced courier and prioritize it for immediate dispatch.,Ensure the courier is aware of the high urgency score and expedite the process.,medium,0,0.8,1.0,1.0,1.0,0.94
3,P-5749734,Chongqing,3,0,High,0.044036814155639,0.985,0.7449166666666666,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0440 and an intervention priority set to High.,"The model risk rank score (0.9850) indicates high reliability in the prediction, supporting the risk assessment.",Assign this task to the most experienced courier due to its high intervention urgency score (0.7449).,Ensure quick dispatch as there is ample feasibility margin and time pressure is moderate.,high,0,1.0,0.0,1.0,1.0,0.75
4,P-4971786,Chongqing,3,0,High,0.0335808481610726,0.964,0.7296447491034433,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0336.,High intervention priority and model risk rank score indicate significant concerns.,Assign this high-priority task to an experienced courier immediately.,Ensure the selected courier has no other tasks in their workload window.,medium,0,0.8,0.0,1.0,1.0,0.69
5,P-4904692,Chongqing,3,0,High,0.0308428511346022,0.9555,0.7240749999999999,ollama,Task has a moderate risk of missing service window due to predicted breach probability and model risk rank score.,Predicted breach probability (0.0308) and model risk rank score (0.9555) indicate potential issues with task completion on time.,Assign a backup courier for immediate pickup.,"Task P-4904692 in Chongqing has high intervention priority, moderate risk of missing service window, and low workload pressure. Assign a spare courier to ensure timely delivery.",medium,0,0.8,1.0,1.0,1.0,0.94
6,P-2301722,Chongqing,3,0,High,0.0307912316213635,0.9545,0.7234249999999999,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0308.,The model risk rank score (0.9545) indicates high risk potential.,Assign the task to an experienced courier and prioritize its delivery.,"Ensure timely delivery, as the intervention priority is high.",medium,0,0.8,1.0,1.0,1.0,0.94
7,P-2133217,Chongqing,3,0,High,0.0295526437676187,0.9495,0.722675,ollama,Moderate risk of missing service window due to predicted breach probability and model risk rank score.,High intervention priority with a moderate risk level indicates urgency.,Assign an additional courier for immediate pickup.,"Priority task in Chongqing, high risk of delay. Immediate action required.",medium,0,0.8,0.0,1.0,1.0,0.69
8,P-4765817,Chongqing,3,0,High,0.0277940521546453,0.938,0.7143666666666666,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0278 and an intervention priority set to High.,The model risk rank score (0.9380) indicates the highest strength among all evidence.,Assign this task to the most experienced courier due to its high intervention priority and moderate risk level.,"Monitor the progress closely as there's a slight chance of missing the service window, prioritize updates on this task.",medium,0,0.8,1.0,1.0,1.0,0.94
9,P-2764590,Chongqing,3,0,High,0.0281347716356718,0.94,0.7139999999999999,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0281 and a model risk rank score of 0.9400.,The strongest evidence is the high intervention priority and the time to service-window end being only 120 minutes remaining.,Assign an experienced courier with fast travel times to ensure timely delivery.,This task requires immediate attention due to its proximity to the service window deadline. Opt for a seasoned courier who can handle short distances efficiently.,medium,0,1.0,0.0,1.0,1.0,0.75
10,P-2277068,Yantai,16,0,High,0.0683637434712218,0.9965,0.7135583333333334,ollama,The task has a moderate risk of missing its service window due to a predicted breach probability of 0.0684 and an intervention priority set at High.,"The model risk rank score of 0.9965 indicates high risk, emphasizing the urgency of this task.",Assign a dedicated courier with immediate attention to ensure timely delivery.,High-risk task nearing service window breach; prioritize dispatch for expedited delivery.,high,0,0.8,1.0,1.0,1.0,0.94
